date	title	category	url	post_text
2019-01-24 20:00:00+00:00	Oracle v. Google and the future of software development	Public Policy	https://blog.google/outreach-initiatives/public-policy/our-fight-protect-future-software-development/	
2019-01-22 18:00:00+00:00	Engaging policy stakeholders on issues in AI governance	Public Policy	https://blog.google/outreach-initiatives/public-policy/engaging-policy-stakeholders-issues-ai-governance/	
2019-01-18 15:00:00+00:00	Applications are open for the Google North America Public Policy Fellowship	Public Policy	https://blog.google/outreach-initiatives/public-policy/applications-are-open-google-north-america-public-policy-fellowship/	
2019-01-08 17:30:00+00:00	How we’re supporting smart regulation and policy innovation in 2019	Public Policy	https://blog.google/outreach-initiatives/public-policy/principles-evolving-technology-policy-2019/	
2018-12-20 23:59:00+00:00	To stop terror content online, tech companies need to work together	Public Policy	https://blog.google/outreach-initiatives/public-policy/stop-terror-content-online-tech-companies-need-work-together/	
2018-12-20 19:05:00+00:00	A "First Step" towards criminal justice reform	Public Policy	https://blog.google/outreach-initiatives/public-policy/first-step-towards-criminal-justice-reform/	
2018-12-20 13:00:00+00:00	From soil to supper: How technology influences your dinner	Public Policy	https://blog.google/outreach-initiatives/public-policy/soil-supper-how-technology-influences-your-dinner/	
2018-11-07 06:00:00+00:00	Protecting what we love about the internet: our efforts to stop online piracy	Public Policy	https://blog.google/outreach-initiatives/public-policy/protecting-what-we-love-about-internet-our-efforts-stop-online-piracy/	
2018-10-25 13:00:00+00:00	Parent helpline answers: How do I keep my family safe from opioid addiction?	Public Policy	https://blog.google/outreach-initiatives/public-policy/drug-free-helpline-answers-how-do-i-keep-my-family-safe-opioid-addiction/	
2018-10-03 13:10:00+00:00	Coming together to create a prior art archive	Public Policy	https://blog.google/outreach-initiatives/public-policy/coming-together-create-prior-art-archive/	
2018-09-24 18:40:00+00:00	Proposing a framework for data protection legislation	Public Policy	https://blog.google/outreach-initiatives/public-policy/proposing-framework-data-protection-legislation/	
2018-09-04 17:15:00+00:00	Our testimony to the U.S. Senate Select Committee on Intelligence	Public Policy	https://blog.google/outreach-initiatives/public-policy/our-testimony-us-senate-select-committee-intelligence/	
2018-08-15 17:48:00+00:00	Introducing a new transparency report for political ads	Ads	https://blog.google/technology/ads/introducing-new-transparency-report-political-ads/	
2018-07-23 17:20:00+00:00	Updating government access laws for the digital age	Public Policy	https://blog.google/outreach-initiatives/public-policy/updating-government-access-laws-digital-age/	
2018-07-18 11:30:00+00:00	Android has created more choice, not less	Google in Europe	https://blog.google/around-the-globe/google-europe/android-has-created-more-choice-not-less/	
2018-06-28 16:00:00+00:00	A new report on building opportunities for everyone	Public Policy	https://blog.google/outreach-initiatives/public-policy/new-report-building-opportunities-everyone/	
2018-06-19 07:00:00+00:00	Joining forces in Europe to prepare for the future of work	Google in Europe	https://blog.google/around-the-globe/google-europe/joining-forces-europe-prepare-future-work/	
2018-05-11 23:50:00+00:00	Digital Love Letters from children to parents who are incarcerated	Public Policy	https://blog.google/outreach-initiatives/public-policy/digital-love-letters-children-parents-who-are-incarcerated/	
2018-05-11 07:00:00+00:00	Our preparations for Europe’s new data protection law	Public Policy	https://blog.google/outreach-initiatives/public-policy/our-preparations-europes-new-data-protection-law/	
2018-05-04 13:00:00+00:00	Supporting election integrity through greater advertising transparency	Public Policy	https://blog.google/outreach-initiatives/public-policy/supporting-election-integrity-through-greater-advertising-transparency/	
2018-04-25 04:00:00+00:00	Help fight the opioid epidemic this National Prescription Drug Take Back Day	Public Policy	https://blog.google/outreach-initiatives/public-policy/national-drug-take-back-day/	
2018-03-02 15:00:00+00:00	2018 Google North America Public Policy Fellowship now accepting applications	Public Policy	https://blog.google/outreach-initiatives/public-policy/2018-google-north-america-public-policy-fellowship-now-accepting-applications/	
2018-02-26 17:00:00+00:00	Updating our “right to be forgotten” Transparency Report	Google in Europe	https://blog.google/around-the-globe/google-europe/updating-our-right-be-forgotten-transparency-report/	
2017-12-26 18:45:00+00:00	Extending domain opt-out and AdWords API tools	Public Policy	https://blog.google/outreach-initiatives/public-policy/extending-domain-opt-out-and-adwords-api-tools/	
2017-12-07 18:30:00+00:00	New government removals and National Security Letter data	Public Policy	https://blog.google/outreach-initiatives/public-policy/new-government-removals-and-national-security-letter-data/	
2017-12-04 15:00:00+00:00	Update on the Global Internet Forum to Counter Terrorism	Public Policy	https://blog.google/around-the-globe/google-europe/update-global-internet-forum-counter-terrorism/	
2017-11-15 17:00:00+00:00	Defending access to lawful information at Europe’s highest court	Google in Europe	https://blog.google/around-the-globe/google-europe/defending-access-lawful-information-europes-highest-court/	
2017-10-30 22:58:00+00:00	Security and disinformation in the U.S. 2016 election	Public Policy	https://blog.google/outreach-initiatives/public-policy/security-and-disinformation-us-2016-election/	
2017-10-16 09:00:00+00:00	Towards a future of work that works for everyone	Google in Europe	https://blog.google/around-the-globe/google-europe/towards-future-work-works-everyone/	
