,date,title,topic,author,path,categories,children,gender_violence,hate_speech,health_disinfo,political_disinfo,safety
59,"Thursday, 2 December 2021", Expanding access beyond information operations ,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2021/-expanding-access-beyond-information-operations-,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
60,"Thursday, 2 December 2021",Disclosing state-linked information operations we've removed,Company,,https://blog.twitter.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,"['health_disinfo', 'safety']",0,0,0,1,0,0
60,"Thursday, 2 December 2021",Disclosing state-linked information operations we've removed,Company,,https://blog.twitter.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,"['health_disinfo', 'safety']",0,0,0,0,0,1
61,"Wednesday, 1 December 2021",Our new search prompt to help people find credible information about HIV,Company,Kathleen Reen,https://blog.twitter.com/en_us/topics/company/2021/our-new-search-prompt-to-help-people-find-credible-information-about-hiv,"['children', 'health_disinfo', 'safety']",1,0,0,0,0,0
61,"Wednesday, 1 December 2021",Our new search prompt to help people find credible information about HIV,Company,Kathleen Reen,https://blog.twitter.com/en_us/topics/company/2021/our-new-search-prompt-to-help-people-find-credible-information-about-hiv,"['children', 'health_disinfo', 'safety']",0,0,0,1,0,0
61,"Wednesday, 1 December 2021",Our new search prompt to help people find credible information about HIV,Company,Kathleen Reen,https://blog.twitter.com/en_us/topics/company/2021/our-new-search-prompt-to-help-people-find-credible-information-about-hiv,"['children', 'health_disinfo', 'safety']",0,0,0,0,0,1
62,"Tuesday, 30 November 2021",The evolution of social intelligence: Q&A with Dr. Jillian Ney,Insights,Joe Rice,https://blog.twitter.com/en_us/topics/insights/2021/the-evolution-of-social-intelligence,[],0,0,0,0,0,0
63,"Tuesday, 30 November 2021",Expanding our private information policy to include media,Company,,https://blog.twitter.com/en_us/topics/company/2021/private-information-policy-update,['safety'],0,0,0,0,0,1
64,"Monday, 22 November 2021","Watch, chat, shop: Live Shopping on Twitter",Product,Justin Hoang,https://blog.twitter.com/en_us/topics/product/2021/watch--chat--shop--live-shopping-on-twitter,[],0,0,0,0,0,0
65,"Wednesday, 17 November 2021",Our work to protect the integrity of the conversation in Ethiopia,Company,,https://blog.twitter.com/en_us/topics/company/2021/our-work-to-protect-the-safety-and-integrity-of-the-conversation,"['hate_speech', 'safety']",0,0,1,0,0,0
65,"Wednesday, 17 November 2021",Our work to protect the integrity of the conversation in Ethiopia,Company,,https://blog.twitter.com/en_us/topics/company/2021/our-work-to-protect-the-safety-and-integrity-of-the-conversation,"['hate_speech', 'safety']",0,0,0,0,0,1
66,"Wednesday, 10 November 2021",Our continued work to protect your privacy and security,Company,Damien Kieran ,https://blog.twitter.com/en_us/topics/company/2021/our-continued-work-to-protect-your-privacy-and-security,['safety'],0,0,0,0,0,1
67,"Tuesday, 9 November 2021","Twitter smarter, Twitter harder with Twitter Blue",Product,Sara Beykpour,https://blog.twitter.com/en_us/topics/product/2021/twitter-smarter--twitter-harder-with-twitter-blue,[],0,0,0,0,0,0
68,"Monday, 1 November 2021",#COP26 is happening on Twitter,Company,X,https://blog.twitter.com/en_us/topics/company/2021/-cop26-is-happening-on-twitter,[],0,0,0,0,0,0
69,"Thursday, 2 December 2021", Expanding access beyond information operations ,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2021/-expanding-access-beyond-information-operations-,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,1,0,0
69,"Thursday, 2 December 2021", Expanding access beyond information operations ,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2021/-expanding-access-beyond-information-operations-,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,1,0
69,"Thursday, 2 December 2021", Expanding access beyond information operations ,Company,Yoel Roth,https://blog.twitter.com/en_us/topics/company/2021/-expanding-access-beyond-information-operations-,"['health_disinfo', 'political_disinfo', 'safety']",0,0,0,0,0,1
70,"Thursday, 2 December 2021",Disclosing state-linked information operations we've removed,Company,,https://blog.twitter.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,"['health_disinfo', 'safety']",0,0,0,1,0,0
70,"Thursday, 2 December 2021",Disclosing state-linked information operations we've removed,Company,,https://blog.twitter.com/en_us/topics/company/2021/disclosing-state-linked-information-operations-we-ve-removed,"['health_disinfo', 'safety']",0,0,0,0,0,1
71,"Wednesday, 1 December 2021",Our new search prompt to help people find credible information about HIV,Company,Kathleen Reen,https://blog.twitter.com/en_us/topics/company/2021/our-new-search-prompt-to-help-people-find-credible-information-about-hiv,"['children', 'health_disinfo', 'safety']",1,0,0,0,0,0
